case,inner,outer,mode,runs,min_ms,median_ms,avg_ms,stddev_ms,pattern,expected_rows,rows,correct,fpga_time_ms_median,inner_drain_ms_median,outer_drain_ms_median,adapter_run_ms_median,result_copy_ms_median,tid_fetch_ms_median,custom_scan_ms_median,host_config_send_ms_median,host_config_ack_wait_ms_median,host_build_send_ms_median,host_build_ack_wait_ms_median,host_probe_send_ms_median,host_probe_ack_wait_ms_median,host_final_status_wait_ms_median,host_reset_wait_ms_median,host_result_recv_ms_median,host_protocol_frames_sent_median,host_protocol_frames_recv_median,host_transport_sends_median,host_bytes_sent_median,host_bytes_recv_median,host_inner_frames_sent_median,host_outer_frames_sent_median,host_ack_frames_recv_median,host_status_frames_recv_median,host_result_frames_recv_median,host_debug_frames_recv_median,host_timing_frames_recv_median,host_result_pairs_recv_median,board_timing_version_median,board_timing_flags_median,board_clock_hz_median,board_inner_rows_median,board_outer_rows_median,board_matched_rows_median,board_inner_frames_median,board_outer_frames_median,board_result_frames_median,board_ack_frames_median,board_debug_frames_median,board_bytes_rx_median,board_bytes_tx_median,board_session_total_cycles_median,board_config_cycles_median,board_build_rx_cycles_median,board_build_compute_cycles_median,board_build_total_cycles_median,board_probe_rx_cycles_median,board_probe_compute_cycles_median,board_result_emit_cycles_median,board_probe_total_cycles_median,board_ack_emit_cycles_median,board_rx_wait_cycles_median,board_tx_blocked_cycles_median,board_protocol_wait_cycles_median,board_max_build_batch_cycles_median,board_max_probe_batch_cycles_median,board_max_result_frame_cycles_median,board_hash_build_inserts_median,board_hash_probe_lookups_median,board_hash_probe_hits_median,board_hash_probe_misses_median,board_hash_overflow_errors_median,board_hash_build_collision_steps_median,board_hash_probe_collision_steps_median,board_hash_max_build_probe_distance_median,board_hash_max_probe_distance_median,board_hash_table_load_factor_ppm_median
a_medium_outer_skew,256,1024,cpu,1,0.368000,0.368000,0.368000,0.000000,outer_skew,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_outer_skew,256,1024,udp,1,16.724000,16.724000,16.724000,0.000000,outer_skew,1024,1024,True,15.857000,0.037000,0.143000,15.857000,0.003000,0.178000,16.217000,0.061000,0.722000,0.015000,0.628000,0.074000,2.102000,0.000000,0.000000,1.875000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_bram_low10,12288,49150,cpu,1,10.040000,10.040000,10.040000,0.000000,low10,4915,4915,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_low10,12288,49150,udp,1,79.282000,79.282000,79.282000,0.000000,low10,4915,4915,True,68.883000,1.471000,6.217000,68.883000,0.009000,1.664000,78.244000,0.045000,0.539000,0.854000,6.612000,3.296000,23.158000,0.000000,0.000000,13.348000,523.000000,306.000000,522.000000,615962.000000,63254.000000,105.000000,417.000000,262.000000,1.000000,42.000000,0.000000,1.000000,4915.000000,1.000000,1.000000,70000000.000000,12288.000000,49150.000000,4915.000000,105.000000,417.000000,42.000000,263.000000,0.000000,615962.000000,63254.000000,958427.000000,31.000000,123195.000000,26130.000000,149325.000000,492751.000000,253066.000000,59106.000000,804923.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3773.000000,1419.000000,12288.000000,49150.000000,4915.000000,44235.000000,0.000000,777.000000,77383.000000,3.000000,7.000000,750000.000000
a_bram_full,12288,49152,cpu,1,24.300000,24.300000,24.300000,0.000000,full,49152,49152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_full,12288,49152,udp,1,118.347000,118.347000,118.347000,0.000000,full,49152,49152,True,97.004000,1.599000,5.865000,97.004000,0.064000,8.448000,112.980000,0.027000,0.646000,0.832000,5.963000,7.643000,41.601000,0.000000,0.000000,37.181000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1341870.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,104520.000000,591075.000000,1188366.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3001.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,3108.000000,3.000000,3.000000,750000.000000
a_bram_half,12288,49152,cpu,1,16.460000,16.460000,16.460000,0.000000,half,24576,24576,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_half,12288,49152,udp,1,85.616000,85.616000,85.616000,0.000000,half,24576,24576,True,70.992000,1.410000,5.836000,70.992000,0.036000,4.363000,82.636000,0.026000,0.532000,1.448000,5.206000,4.443000,22.345000,0.000000,0.000000,20.650000,523.000000,473.000000,522.000000,615982.000000,299687.000000,105.000000,417.000000,262.000000,1.000000,209.000000,0.000000,1.000000,24576.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,24576.000000,105.000000,417.000000,209.000000,263.000000,0.000000,615982.000000,299687.000000,1128872.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,187058.000000,295539.000000,975368.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3429.000000,1419.000000,12288.000000,49152.000000,24576.000000,24576.000000,0.000000,777.000000,44377.000000,3.000000,7.000000,750000.000000
a_bram_hotkey,12288,49152,cpu,1,13.469000,13.469000,13.469000,0.000000,hotkey,49152,49152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_hotkey,12288,49152,udp,1,115.494000,115.494000,115.494000,0.000000,hotkey,49152,49152,True,93.621000,1.514000,5.812000,93.621000,0.062000,8.844000,109.853000,0.031000,0.611000,0.799000,6.637000,3.059000,50.554000,0.000000,0.000000,47.407000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1335654.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,98304.000000,591075.000000,1182150.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,2853.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,0.000000,3.000000,1.000000,750000.000000
a_bram_none,12288,49152,cpu,1,9.813000,9.813000,9.813000,0.000000,none,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_none,12288,49152,udp,1,80.578000,80.578000,80.578000,0.000000,none,0,0,True,72.686000,1.506000,5.954000,72.686000,0.000000,0.000000,80.145000,0.052000,1.305000,1.000000,8.085000,4.408000,17.781000,0.000000,0.000000,0.000000,523.000000,264.000000,522.000000,615982.000000,4148.000000,105.000000,417.000000,262.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,0.000000,105.000000,417.000000,0.000000,263.000000,0.000000,615982.000000,4148.000000,915849.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,269574.000000,0.000000,762345.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,2440.000000,0.000000,12288.000000,49152.000000,0.000000,49152.000000,0.000000,777.000000,85635.000000,3.000000,7.000000,750000.000000
a_bram_outer_skew,12288,49152,cpu,1,15.782000,15.782000,15.782000,0.000000,outer_skew,49152,49152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_outer_skew,12288,49152,udp,1,116.274000,116.274000,116.274000,0.000000,outer_skew,49152,49152,True,94.612000,1.482000,5.781000,94.612000,0.067000,8.571000,110.514000,0.030000,0.823000,0.731000,6.694000,3.678000,48.864000,0.000000,0.000000,45.048000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1337208.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,99858.000000,591075.000000,1183704.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,2989.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,777.000000,3.000000,3.000000,750000.000000
