case,inner,outer,mode,runs,min_ms,median_ms,avg_ms,stddev_ms,pattern,expected_rows,rows,correct,fpga_time_ms_median,inner_drain_ms_median,outer_drain_ms_median,adapter_run_ms_median,result_copy_ms_median,tid_fetch_ms_median,custom_scan_ms_median,host_config_send_ms_median,host_config_ack_wait_ms_median,host_build_send_ms_median,host_build_ack_wait_ms_median,host_probe_send_ms_median,host_probe_ack_wait_ms_median,host_final_status_wait_ms_median,host_reset_wait_ms_median,host_result_recv_ms_median,host_protocol_frames_sent_median,host_protocol_frames_recv_median,host_transport_sends_median,host_bytes_sent_median,host_bytes_recv_median,host_inner_frames_sent_median,host_outer_frames_sent_median,host_ack_frames_recv_median,host_status_frames_recv_median,host_result_frames_recv_median,host_debug_frames_recv_median,host_timing_frames_recv_median,host_result_pairs_recv_median,board_timing_version_median,board_timing_flags_median,board_clock_hz_median,board_inner_rows_median,board_outer_rows_median,board_matched_rows_median,board_inner_frames_median,board_outer_frames_median,board_result_frames_median,board_ack_frames_median,board_debug_frames_median,board_bytes_rx_median,board_bytes_tx_median,board_session_total_cycles_median,board_config_cycles_median,board_build_rx_cycles_median,board_build_compute_cycles_median,board_build_total_cycles_median,board_probe_rx_cycles_median,board_probe_compute_cycles_median,board_result_emit_cycles_median,board_probe_total_cycles_median,board_ack_emit_cycles_median,board_rx_wait_cycles_median,board_tx_blocked_cycles_median,board_protocol_wait_cycles_median,board_max_build_batch_cycles_median,board_max_probe_batch_cycles_median,board_max_result_frame_cycles_median,board_hash_build_inserts_median,board_hash_probe_lookups_median,board_hash_probe_hits_median,board_hash_probe_misses_median,board_hash_overflow_errors_median,board_hash_build_collision_steps_median,board_hash_probe_collision_steps_median,board_hash_max_build_probe_distance_median,board_hash_max_probe_distance_median,board_hash_table_load_factor_ppm_median
a_medium_none,256,1024,cpu,1,0.276000,0.276000,0.276000,0.000000,none,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_none,256,1024,udp,1,16.130000,16.130000,16.130000,0.000000,none,0,0,True,15.441000,0.036000,0.135000,15.441000,0.000000,0.000000,15.612000,0.032000,0.693000,0.029000,0.584000,0.079000,1.484000,0.000000,0.000000,0.000000,13.000000,9.000000,12.000000,12852.000000,323.000000,3.000000,9.000000,7.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,0.000000,3.000000,9.000000,0.000000,8.000000,0.000000,12852.000000,323.000000,15750.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,0.000000,12315.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,1434.000000,0.000000,256.000000,1024.000000,0.000000,1024.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_outer_skew,256,1024,cpu,1,0.366000,0.366000,0.366000,0.000000,outer_skew,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_outer_skew,256,1024,udp,1,15.889000,15.889000,15.889000,0.000000,outer_skew,1024,1024,True,15.010000,0.039000,0.138000,15.010000,0.002000,0.181000,15.370000,0.033000,0.620000,0.020000,0.569000,0.058000,1.998000,0.000000,0.000000,1.886000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
medium,256,1024,cpu,1,0.353000,0.353000,0.353000,0.000000,full,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medium,256,1024,udp,1,15.550000,15.550000,15.550000,0.000000,full,1024,1024,True,14.670000,0.039000,0.133000,14.670000,0.002000,0.174000,15.018000,0.026000,0.508000,0.023000,0.653000,0.064000,1.715000,0.000000,0.000000,1.614000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
rx4,1024,4096,cpu,1,1.238000,1.238000,1.238000,0.000000,full,4096,4096,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rx4,1024,4096,udp,1,22.343000,22.343000,22.343000,0.000000,full,4096,4096,True,20.205000,0.125000,0.503000,20.205000,0.006000,0.686000,21.526000,0.024000,0.619000,0.045000,1.118000,0.299000,4.866000,0.000000,0.000000,4.493000,45.000000,60.000000,44.000000,51348.000000,49820.000000,9.000000,35.000000,23.000000,1.000000,35.000000,0.000000,1.000000,4096.000000,1.000000,1.000000,70000000.000000,1024.000000,4096.000000,4096.000000,9.000000,35.000000,35.000000,24.000000,0.000000,51348.000000,49820.000000,111423.000000,31.000000,10267.000000,2048.000000,12315.000000,41065.000000,8192.000000,49257.000000,98514.000000,360.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,1024.000000,4096.000000,4096.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,62500.000000
large,4096,16384,cpu,1,4.923000,4.923000,4.923000,0.000000,full,16384,16384,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large,4096,16384,udp,1,48.667000,48.667000,48.667000,0.000000,full,16384,16384,True,40.049000,0.524000,2.009000,40.049000,0.019000,2.813000,45.414000,0.027000,0.599000,0.263000,2.854000,0.992000,17.461000,0.000000,0.000000,16.764000,175.000000,229.000000,174.000000,205338.000000,198563.000000,35.000000,139.000000,88.000000,1.000000,139.000000,0.000000,1.000000,16384.000000,1.000000,1.000000,70000000.000000,4096.000000,16384.000000,16384.000000,35.000000,139.000000,139.000000,89.000000,0.000000,205338.000000,198563.000000,444876.000000,31.000000,41065.000000,8192.000000,49257.000000,164257.000000,32768.000000,197025.000000,394050.000000,1335.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,4096.000000,16384.000000,16384.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,250000.000000
